TIPO;DIRECCION;IDENTIFICADOR;CODIGO,N,8,0;CODNDP,N,19,0;TIPO DE AREA;TIPO DE SUELO;LOCALIZACION;ACCESO;N.ELEMENTOS;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;LATITUD;LONGITUD;UTMX;UTMY
AREA DE MAYORES;CALLE CANARIAS nß 17;3485;402001;11010094;CONJUNTO;ARENA;0;0;7;295,346;69,12;CENTRO DE MAYORES DE ARGANZUELA - PALOS DE LA FRONTERA;ARGANZUELA;PALOS DE MOGUER;40.402.191;-3.695.649;440969,202;4472630,298
AREA DE MAYORES;CALLE GASOMETRO nß 32;9969;402003;31044316;CONJUNTO;ARENA;0;0;2;58,122;28,62;P? ˙ PASEO DOCTOR VALLEJO NAJERA N?25 , ASCENDIEN;ARGANZUELA;ACACIAS;40.402.437;-3.707.992;439922,068;4472665,905
AREA DE MAYORES;RONDA SEGOVIA nß 48;9972;402002;20184196;CONJUNTO;ARENA;0;0;2;57,992;31,28;Pza ˙ PLAZA PZA.MERCADO CON TSIA. GIL IMON N?44 ,;ARGANZUELA;IMPERIAL;40.407.153;-3.713.662;439445,158;4473193,294
AREA DE MAYORES;CALLE TEJO nß 5;12215;402004;20139391;POSTES;ARENA;EN CAMINO DE PARQUE;0;6;0;0;CALLE TEJO, N? 5;ARGANZUELA;ATOCHA;4.039.705;-367.765;442492,2204;4472047,834
AREA DE MAYORES;CALLE PUERTO DE BEJAR nß 3;12883;402007;20000289;POSTES;ARENA;0;0;8;0;0;0;ARGANZUELA;LEGAZPI;40.387.563;-3.688.315;441578,9171;4471001,711
AREA DE MAYORES;CALLE PARROCO EUSEBIO CUENCA nß 13;12828;402005;31041801;MARQUESINAS;SOLADO;0;0;6;0;0;0;ARGANZUELA;DELICIAS;40.395.039;-3.687.989;441613,025;4471831,401
AREA DE MAYORES;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS nß 15;12914;402006;31041998;POSTES;ARENA;0;0;8;0;0;0;ARGANZUELA;ACACIAS;40.401.085;-3.705.137;440163,1016;4472513,965
AREA DE MAYORES;CALLE BAHIA DE SANTA POLA nß 56;13102;494001;20148724;0;0;0;0;7;0;0;0;BARAJAS;CORRALEJOS;40.467.467;-3.593.134;449717,0418;4479812,515
AREA DE MAYORES;CALLE BERGANTIN nß 26;13229;9900012;31043159;0;0;0;0;5;0;0;0;BARAJAS;ALAMEDA DE OSUNA;40.459.246;-3.582.808;450586,4503;4478894,114
AREA DE MAYORES;CALLE ACUARIO nß 27;7505;421007;11140825;POSTES;ARENA;0;0;3;77,852;40.8;CALLE ACUARIO, N? 27;BARAJAS;CASCO HIST‡RICO DE BARAJAS;40.474.591;-3.579.973;450838,002;4480595,854
AREA DE MAYORES;CALLE NORAY nß 3;11035;421004;20047389;POSTES;SOLADO;EN CARRIL BICI;0;12;0;0;PASO INFERIOR CARRIL BICI - A2;BARAJAS;ALAMEDA DE OSUNA;40.450.905;-3.596.759;449397,294;4477976,182
AREA DE MAYORES;CALLE PRADOLUENGO nß 123;11023;421005;11140190;POSTES;SOLADO;0;0;5;0;0;CALLE PRADOLUENGO, N? 123;BARAJAS;AEROPUERTO;40.451.065;-3.583.397;450530,512;4477986,43
AREA DE MAYORES;CALLE AYERBE nß 12;4873;421002;11140553;MARQUESINAS;ARENA;0;0;4;83,665;36,42;EN ZONA PARQUE;BARAJAS;CASCO HIST‡RICO DE BARAJAS;40.468.351;-3.580.727;450769,524;4479903,686
AREA DE MAYORES;CALLE ALAS nß 2;7256;421006;11141161;POSTES;ARENA;0;0;4;77,852;40.8;CALLE ALAS, N? 2;BARAJAS;TIM‡N;4.047.197;-358.499;450410,744;4480307,74
AREA DE MAYORES;CALLE BAHIA DE SANTO•A nß 6;9952;421003;31008417;CONJUNTO;ARENA;0;0;2;122,621;44,25;C ˙ CALLE CARABELA(JUNTO CENTRO SALUD ALAMEDA DE;BARAJAS;CORRALEJOS;40.465.949;-3.589.778;450000,463;4479642,119
