;PK;NOMBRE;DIRECCION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;LATITUD;LONGITUD;closestStation
0;49338;CENTRO DEPORTIVO MUNICIPAL ALBERTO GARCA;CALLE REGUERA DE TOMATEROS, 39B;MADRID;MADRID;28053;ENTREVIAS;PUENTE DE VALLECAS;40.3724214180634;-3.6574515621755106;28079040
1;10183549;CENTRO DEPORTIVO MUNICIPAL ALCANTARA;CALLE ALCANTARA;MADRID;MADRID;28006;GOYA;SALAMANCA;40.4281029153811;-3.6737317205040494;28079008
2;114782;CENTRO DEPORTIVO MUNICIPAL ALFREDO GOYENECHE;CALLE ARROYO DE POZUELO;;;28023;ARAVACA;MONCLOA-ARAVACA;40.4521213501285;-3.78328320371919;28079024
3;4696;CENTRO DEPORTIVO MUNICIPAL ALUCHE;AVENIDA DE LAS AGUILAS;MADRID;MADRID;28044;LAS AGUILAS;LATINA;40.382720517194706;-3.77365360088156;28079018
4;99578;CENTRO DEPORTIVO MUNICIPAL BARAJAS;AVENIDA LOGROO;MADRID;MADRID;28042;ALAMEDA DE OSUNA;BARAJAS;40.4630138280965;-3.58769332407462;28079055
5;10051058;CENTRO DEPORTIVO MUNICIPAL BARCEL;MERCADO BARCELO;MADRID;MADRID;28004;JUSTICIA/ CENTRO;;40.4267106934776;-3.6988277636112703;28079035
6;4705;CENTRO DEPORTIVO MUNICIPAL CASA DE CAMPO;PASEO PUERTA DEL ANGEL;MADRID;MADRID;28011;CASA DE CAMPO;MONCLOA-ARAVACA;40.416126287892;-3.7335365736416204;28079024
7;78960;CENTRO DEPORTIVO MUNICIPAL CENTRO INTEGRADO ARGANZUELA;CALLE CANARIAS;MADRID;MADRID;28045;PALOS DE MOGUER;ARGANZUELA;40.4020727986286;-3.6955325387824;28079047
8;4687;CENTRO DEPORTIVO MUNICIPAL CERRO ALMODVAR;CALLE CERRO DE ALMODOVAR;MADRID;MADRID;28007;SANTA EUGENIA;VILLA DE VALLECAS;40.3816857061153;-3.60233646095348;28079054
9;4700;CENTRO DEPORTIVO MUNICIPAL CHAMARTN;AVENIDA PIO XII;MADRID;MADRID;28016;NUEVA ESPAA;CHAMARTIN;40.4611334983069;-3.67620824606112;28079011
10;6208448;CENTRO DEPORTIVO MUNICIPAL CIRCUITO BMX;CALLE EMBAJADORES;MADRID;MADRID;28045;LEGAZPI;ARGANZUELA;40.385539006771204;-3.6898722494765295;28079047
11;4702;CENTRO DEPORTIVO MUNICIPAL CIUDAD DE LOS POETAS;CALLE ANTONIO MACHADO;MADRID;MADRID;28035;VALDEZARZA;MONCLOA-ARAVACA;40.4659206780808;-3.7189325594658498;28079039
12;4672;CENTRO DEPORTIVO MUNICIPAL CONCEPCIN;CALLE JOSE DEL HIERRO;MADRID;MADRID;28027;CONCEPCION;CIUDAD LINEAL;40.437256520472495;-3.6484498132292;28079016
13;134059;CENTRO DEPORTIVO MUNICIPAL DAOZ Y VELARDE 1;PLAZA DAOIZ Y VELARDE;MADRID;MADRID;28007;PACIFICO;RETIRO;40.4013311774335;-3.67781314347642;28079047
14;4726;CENTRO DEPORTIVO MUNICIPAL DAOZ Y VELARDE 2;CALLE ALBERCHE;MADRID;MADRID;28007;PACIFICO;RETIRO;40.4007991897123;-3.67789029703668;28079047
15;140197;CENTRO DEPORTIVO MUNICIPAL EL ESPINILLO;CARRETERA VILLAVERDE A VALLECAS;MADRID;MADRID;28041;LOS ROSALES;VILLAVERDE;40.3563419399193;-3.68659514182063;28079017
16;84661;CENTRO DEPORTIVO MUNICIPAL EL OLIVILLO;CALLE OLIVILLO;MADRID;MADRID;28011;LUCERO;LATINA;40.406524702214604;-3.74588923380108;28079024
