Column,PK,NOMBRE,CLASE-VIAL,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,closestStation
0,58241,ESCUELA INFANTIL MUNICIPAL AGUA DULCE,CALLE LEÑEROS 25,MADRID,MADRID,28039,BELLAS VISTAS,TETUAN,40.454060880244604,-3.709371361756636,28079038
1,4549323,ESCUELA INFANTIL MUNICIPAL ALTAIR,CALLE JOSE DE CADALSO 43,MADRID,MADRID,28044,LAS AGUILAS,LATINA,40.37813189249392,-3.768700549230208,28079018
2,5299172,ESCUELA INFANTIL MUNICIPAL AMANECER,CALLE TITANIO 7,MADRID,MADRID,28032,CASCO H.VICALVARO,VICALVARO,40.401989956003774,-3.6010443459563537,28079054
3,5633312,ESCUELA INFANTIL MUNICIPAL ANA DE AUSTRIA,CALLE ANA DE AUSTRIA 32,MADRID,MADRID,28050,VALDEFUENTES,HORTALEZA,40.495521538137815,-3.655736850911649,28079057
4,4724002,ESCUELA INFANTIL MUNICIPAL CAMPANILLA,CALLE AVILA 4,MADRID,MADRID,28020,CUATRO CAMINOS,TETUAN,40.452700492043,-3.701998076478461,28079038
5,5252087,ESCUELA INFANTIL MUNICIPAL CIELO AZUL,BULEVAR INDALECIO PRIETO 16,MADRID,MADRID,28032,CASCO H.VICALVARO,VICALVARO,40.40182039479394,-3.621194139414776,28079036
6,5633339,ESCUELA INFANTIL MUNICIPAL DOÑA FRANCISQUITA,CALLE CAMBADOS 1,MADRID,MADRID,28050,VALDEFUENTES,HORTALEZA,40.478681563472925,-3.6302312847478593,28079059
7,28779,ESCUELA INFANTIL MUNICIPAL EL ALBA,CALLE TOLEDO 181,MADRID,MADRID,28005,ACACIAS,ARGANZUELA,40.4017650455756,-3.7135122763752992,28079018
8,5632719,ESCUELA INFANTIL MUNICIPAL EL BARBERILLO DE LAVAPIÉS,CALLE GRANITO 32,MADRID,MADRID,28045,DELICIAS,ARGANZUELA,40.393717565970434,-3.690156019819749,28079047
9,5632789,ESCUELA INFANTIL MUNICIPAL EL BATEO,CALLE PINOS DE OSUNA 3,MADRID,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,40.45115316018945,-3.5921656725702142,28079055
10,172970,ESCUELA INFANTIL MUNICIPAL EL BOSQUE,CALLE DELICIAS 32,MADRID,MADRID,28045,PALOS DE MOGUER,ARGANZUELA,40.4043520221113,-3.6955442140662718,28079047
11,5633412,ESCUELA INFANTIL MUNICIPAL EL CASERÍO,CALLE MARIA TERESA ROBLEDO 3,MADRID,MADRID,28018,PALOMERAS BAJAS,PUENTE DE VALLECAS,40.387392664815394,-3.657785626545023,28079040
12,100359,ESCUELA INFANTIL MUNICIPAL EL DUENDE,PLAZA DOS DE MAYO 2,MADRID,MADRID,28004,UNIVERSIDAD,CENTRO,40.4267928877555,-3.704581504983672,28079004
