PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
49338;Centro Deportivo Municipal Alberto Garca;;"Horario de uso de las instalaciones deportivas     Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.    Horario de taquilla     De lunes a domingos: de 9 a 20:30 horas.  Festivos: de 9 a 14:30 horas.    Cierre completo del centro       Mes de agosto y los das 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas     Pre-infantiles  (de 3 a 5 aos): natacin.   Infantiles  (edad, segn modalidades):  ftbol, ftbol sala, gimnasia rtmica, natacin, pdel, patinaje y tenis.   Jvenes : fitness, natacin, padel y tenis.    Personas adultas : aerbic, combinada (fitness y ciclo sala), fitness, gimnasia acutica (acuagim), natacin, pdel, pilates, tonificacin y yoga.   Mayores 65 aos : acondicionamiento fsico y gimnasia acutica (acuagim).   Personas con discapacidad : natacin y pdel.    Equipamientos       Unidades deportivas al aire libre:   2 campos de ftbol de csped artificial, 1 campo de ftbol-7 de csped artificial, pista de baloncesto, pista de ftbol-sala, pista de hockey patines (techada), 4 pistas de pdel de cristal, pista polideportiva y 2 pistas de tenis.     Unidades deportivas cubiertas:  pabelln polideportivo, piscina (vaso de 25 metros y vaso de enseanza), sala multiusos y sala de musculacin.   Ayudas tcnicas para la accesibilidad:  1 ascensor y  1 gra de piscina.   Aparcabicicletas exterior:  capacidad para 10 bicicletas.   Columna de rescate cardaco";"Bus:  24, 102, 310   Renfe:  El Pozo   Bicicleta:  el centro dispone de  aparcabicicletas   exterior  con capacidad para 10 bicicletas.";;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b7ee7510551c010VgnVCM2000000c205a0aRCRD;"REGUERA DE TOMATEROS, 39B";CALLE;V;;;;;;MADRID;MADRID;28053;ENTREVIAS;PUENTE DE VALLECAS;444187;4469302;40.372.421.418.063.400;-36.574.515.621.755.100;917 854 751;;idmagarcia@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios; 
10183549;Centro Deportivo Municipal Alcntara;;"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla    De lunes a viernes: de 7 a 23 horas.    Sbados: de 9 a 20 horas.  Domingos y festivos: de 9 a 15 horas    Cierre completo del Centro     Los  das 1 de enero, 1 de mayo y 25 de diciembre.";"Clases y escuelas deportivas     Pre-infantiles:  matronatacin.   Escuelas infantiles:  bailes, defensa personal y natacin.   Jvenes y personas adultas:  natacin.   Mayores de 65 aos:  natacin.   Personas con discapacidad:  natacin.    Equipamientos      Superficie total de las instalaciones:  3.725 metros cuadrados.     Unidades deportivas al aire libre:   piscina (vaso de 16,8 x 8,4 metros) y u  nidades auxiliares al aire libre, terrazas (de entrenamiento, ludoteca y solrium).      Unidades deportivas cubiertas:  p iscinas (vaso de 25 metros y vaso de enseanza), salas multiusos (actividades y ciclo indoor) y sala fitness.";"Metro:  Lista, Manuel Becerra.   Bus : 21, 43, 53, 146.   Renfe : Cercanas.   Bicicletas:   El centro dispone de aparca bicicletas exterior con capacidad para 12 bicicletas.   Servicio Bicimad, para consultar la estacin ms cercana, acceda al  mapa de geolocalizacin de las estaciones .";;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a949235892f28510VgnVCM1000001d4a900aRCRD;ALCANTARA;CALLE;V;26;;;;;MADRID;MADRID;28006;GOYA;SALAMANCA;442851;4475492;4.042.810.291.538.110;-36.737.317.205.040.500;917 373 641;;alcantara@viding.es;; 
114782;Centro Deportivo Municipal Alfredo Goyeneche;;"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.     Horario de taquilla    De lunes a viernes: de 9 a 20,30 horas  Sbados y domingos: de 9 a 13,30 horas  Festivos, cerrado     Cierre completo del centro   Los fines de semana por la tarde, festivos, semana santa, fines de semana del mes de julio, mes de agosto, y los das 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas      Pre infantiles  (4 y 5 aos): natacin y predeporte.   Infantiles  (edad segn modalidades ) : gimnasia rtmica, natacin, natacin sincronizada y pdel.    Jvenes y adultos  (de 15 a 64 aos): acuagim, aerbic, combinadas, estiramientos, fitness, fitness acutico, GAP (glteos, abdmen y piernas), marcha nrdica, natacin, pdel, pilates y yoga.   Mayores 65 aos : actividad fsica, acuagim, gimnasia acutica, natacin, pilates y prevencin de cadas.   Personas con discapacidad : natacin.    Equipamientos     Superficie total de las instalaciones:  13.505 metros cuadrados.   Unidades deportivas al aire libre:  2 pistas de pdel, 3 pistas de pdel (cristal), 2 pistas de tenis y rocdromo.   Unidades deportivas cubiertas:  pabelln polideportivo, piscina (vaso 25 metros y vaso de enseanza), sala de musculacin, 2 salas multiusos y 2 saunas.   Ayudas tcnicas para la accesibilidad:  1 ascensor, 1 plataforma y 1 gra de piscina.   Columna de rescate cardaco.";"Bus:  160, 161, 685   Renfe:   Aravaca    Bicicleta:  El centro dispone de  aparca bicicletas exterior  con capacidad para 5 bicicletas.";;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=789fe8ae8d81c010VgnVCM1000000b205a0aRCRD;ARROYO DE POZUELO;CALLE;V;99;;;;;;;28023;ARAVACA;MONCLOA-ARAVACA;433581;4478234;4.045.212.135.012.850;-3.783.283.203.719.190;913 571 228;;;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios; 
4696;Centro Deportivo Municipal Aluche;;"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla    De lunes a domingos y festivos de 8,30 a 20,30 horas.      Cierre completo del centro        Das 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas        Pre-Infantiles  (1 a 5 aos, segn modalidades): actividad fsica y juego, natacin,  y pre-deporte (gimnasia rtmica y artstica).   Infantiles  (6 a 14 aos, segn modalidades): aerbic,  atletismo, baloncesto, buceo, ftbol, gimnasia artstica, gimnasia rtmica, gimnasia rtmica (esttica), hockey patines, judo, karate shyto, natacin, patinaje artstico, polideportiva, tenis y voleibol.   Jvenes y adultos  (15 a 64 aos, segn modalidades): aerbic, acuapilates, atletismo, bailes de saln, baloncesto, carrera acutica (acuarunning) , caminar por Madrid, correr por Madrid (carrera popular), ciclo sala, fitness, gimnasia acutica (acuagim), GAP (glteos, abdomen, piernas) , gimnasia de compensacin (salud), gimnasia rtmica (esttica), judo, karate shyto,  marcha nrdica, natacin, natacin de compensacin, natacin embarazadas, pdel, pilates, streching, tenis y yoga dinmico.   Mayores de 65 aos:  acondicionamiento fsico deportivo, gimnasia acutica (acuagim), natacin y pilates.   Personas con discapacidad fsica:  natacin.     Actividades fsico deportivas para centros escolares:  escuela deportiva de educacin Vial.    Equipamientos      Superficie total de las instalaciones:   13.960 metros cuadrados   Unidades deportivas al aire libre:  1 campo de ftbol de csped artificial, circuito de educacin vial, 2 frontones cortos, patindromo, piscinas (1 vaso de gemelas y 1 vaso infantil), pista de atletismo, pista de hockey patines, 4 pistas de pdel, pista de patinaje, 9 pistas polideportivas, 9 pistas de tenis, 2 pistas de voley playa y 19 tenis de mesa.    Unidades deportivas cubiertas:   pabelln polideportivo, piscinas (vaso de 50 metros y vaso de 25 metros), sala de artes marciales, salas multiusos, sala de musculacin y 2 saunas.     Servicio de medicina deportiva:  Acondicionamiento cardiovascular, reconocimientos mdicos para deportistas.   Ayudas tcnicas para la accesibilidad:  1 gra de piscina.    Oficina de promocin deportiva:  responsable de la coordinacin de Juegos deportivos municipales, torneos y circuitos municipales, copas de primavera, informacin en las escuelas de promocin deportiva.    Columna de rescate cardaco.";"Metro:  Aluche   Bus:  17, 34, 139   Renfe:  Fanjul    Bicicletas:   el centro dispone de  aparca bicicletas exterior   con capacidad para 6 bicicletas.";;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD;DE LAS AGUILAS;AVENIDA;V;14;;;;;MADRID;MADRID;28044;LAS AGUILAS;LATINA;434332;4470525;40.382.720.517.194.700;-3.773.653.600.881.560;"917 062 868 /                                                                                                                                       
917 062 869                                                                        
";;idmaluche@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios; 
99578;Centro Deportivo Municipal Barajas;;"Horario de uso de las instalaciones deportivas     Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla    De lunes a viernes: de 8,30 a 20,30 horas.  Sbados, domingos y festivos: de 8,30 a 14,30 horas.    Cierre completo del centro    Mes de agosto y das 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas     Pre infantiles : matronatacin, natacin  peques.   Infantiles  (edad, segn modalidades): bdminton, baloncesto, esgrima, gimnasia rtmica, judo, natacin, pirag&uuml;ismo,  pre-tenis y tenis.   Jvenes y personas adultas : aerbic, ciclo sala, combinada (fitness /natacin,  natacin/carrera acutica) fitness, gimnasia acutica (acuagim), natacin,  natacin de compensacin, natacin embarazadas, natacin post-parto, pdel, pilates, pilates embarazadas, salvamento acutico, tenis y yoga.   Mayores 65 aos : acondicionamiento fsico, gimnasia acutica (acuagim), natacin y pilates mayores.   Personas con discapacidad : natacin (infantil y adulta).   Programa deportivo en la calle:  caminar por Madrid, corredores por Madrid y marcha nrdica.   Servicio de Medicina Deportiva:  psicomotricidad infantil.    Equipamientos     Superficie:  17.346 metros cuadrados.    Unidades Deportivas al aire libre:  4 pistas de pdel y 4 pistas de tenis.    Unidades Deportivas cubiertas:  1 pabelln polideportivo, 1 piscina (vaso de 25 m. y vaso de enseanza), 2 salas multiusos y 1 sala de musculacin.   Oficina de promocin deportiva:  responsable de la coordinacin de Juegos Deportivos Municipales, Torneos y Circuitos Municipales  y Copas de Primavera. Adems, ofrece informacin sobre las Escuelas de Promocin Deportiva.    Ayudas tcnicas para la accesibilidad:  1 ascensor y 1 gra de piscina.    Columna de rescate cardaco.";"Metro:  Barajas , Alameda de Osuna.   Bus:  Urbanos (105, 112, 115, 151) / Interurbanos (211, 212, 827).   Bicicleta:  el centro dispone de  aparcabicicletas exterior  con capacidad para 6 bicicletas.";;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b86c79262ef5d010VgnVCM1000000b205a0aRCRD;LOGROO;AVENIDA;NUM;70;;;;;MADRID;MADRID;28042;ALAMEDA DE OSUNA;BARAJAS;450176;4479315;4.046.301.382.809.650;-3.587.693.324.074.620;913 294 219 / 913 290 602;;;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios; 
10051058;Centro Deportivo Municipal Barcel;;"Horario de uso de las instalaciones deportivas    Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla    De lunes a viernes: de 7 a 24 horas.  Sbados, domingos y festivos: de 7 a 22 horas.     Cierre completo del centro     Das 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas     Pre-infantil : educacin fsica de base.   Infantiles  (edad, segn modalidades): gimnasia rtmica, polideportiva y taekwondo.   Jvenes y personas adultas : aerbic, sh&rsquo;bam, aerbic-zumba y ciclo sala, acondicionamiento fsico, aerbic-sh&rsquo;bam, aerbic-zumba, ciclo sala, fitness,  fitness-body combat, GAP (glteos, abdomen, piernas), gimnasia suave -body balance,  indoor walking, pilates, tonificacin, body pump y yoga.   Mayores 65 aos : actividad fsica,  gimnasia de compensacin, pilates y yoga.   Personas con discapacidad : actividad fsica.    Equipamientos     Superficie total de las instalaciones:    4.000 metros cuadrados.   Unidades deportivas cubiertas:  pista polideportiva, salas multiusos (fitness - ciclo sala, indoor walking y sala de actividades dirigidas).";"Metro:  Tribunal, Alonso Martnez, Bilbao.   Bus:  3, 21, 37, 40, 147, 149.   Bicicleta:   Servicio Bicimad, para consultar la estacin ms cercana, acceda al  mapa de geolocalizacin de las estaciones .";;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=335b21f025d44510VgnVCM2000001f4a900aRCRD;BARCELO;MERCADO;T;6;4;;;;MADRID;MADRID;28004;JUSTICIA/ CENTRO;;440721;4475354;4.042.671.069.347.760;-36.988.277.636.112.700;910 285 389;;infobarcelo@forus.es;; 
4705;Centro Deportivo Municipal Casa de Campo;;"Horario de uso de las instalaciones deportivas                     Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.    Horario de taquilla:    De lunes a viernes, de 8,30 a 21 horas.  Horario de verano, de lunes a domingo, de 11 a 20,30 horas.     Cierre completo del Centro:       Los das 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas     Pre infantiles:   natacin peques.   Infantiles   (edad, segn modalidades): natacin, salvamento acutico y waterpolo.    Jvenes y personas adultas  : fitness, gimnasia acutica  (acuagim), natacin, natacin de compensacin y natacin embarazadas.    Mayores 65 aos  : acondicionamiento fsico y natacin.    Actividades para personas con discapacidad intelectual:   n atacin (adultos).     Equipamientos     Superficie total de las instalaciones:  24.800 metros cuadrados.   Unidades deportivas al aire libre:   piscinas (vaso de 50 metros, vaso de recreo de 33 metros y vaso infantil).    Unidades deportivas cubiertas:  piscina (vaso de 25 metros) y sala de musculacin.   Ayudas tcnicas para la accesibilidad:   2 gras de piscina.";"Metro:  El Lago, Puerta del ngel.   Bus:   31, 33, 36, 39, 65, 138.    Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para 6 bicicletas.   Servicio Bicimad  , para consultar la estacin ms cercana, acceda al   mapa de geolocalizacin de las estaciones";;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3876b0c40971c010VgnVCM1000000b205a0aRCRD;PUERTA DEL ANGEL;PASEO;V;7;;;;;MADRID;MADRID;28011;CASA DE CAMPO;MONCLOA-ARAVACA;437768;4474204;4.041.612.628.789.200;-3.733.536.573.641.620;914 630 050 / 914 649 889;;;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios; 
78960;Centro Deportivo Municipal Centro Integrado Arganzuela;;"Horario de uso de las instalaciones deportivas    Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla    De lunes a viernes, de 9 a 21 horas.  Sbados, domingos y festivos de 9 a 14:30 horas.    Cierre completo del centro     Das 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas         Pre-infantiles :( 2 a 3 aos) matronatacin y natacin peques.   Infantiles:   (edad, segn modalidad) baloncesto, natacin, pdel, taekwondo, unihockey y voleibol.    Jvenes y personas adultas  : aerbic, fitness, GAP (glteos, abdomen, piernas), gimnasia acutica (acuagim), gimnasia suave, natacin, natacin de compensacin, natacin embarazadas, pdel y pilates.    Mayores 65 aos  : acondicionamiento fsico y natacin.    Actividades para personas con discapacidad fsica:   natacin (adultos e infantil).     Equipamientos     Superficie total de todas las instalaciones:  4.900 metros cuadrados.   Unidades deportivas al aire libre   4 Pistas de Pdel (Cristal).    Unidades deportivas cubiertas:    pabelln polideportivo, piscina (vaso de 25 metros y vaso de enseanza), fisio, hidroterapia, sala multiusos y sala de musculacin.     Oficina de promocin deportiva:      responsable de la coordinacin de Juegos Deportivos Municipales, Torneos y Circuitos Municipales, Copas de Primavera. Adems, ofrece informacin sobre las escuelas de promocin deportiva.       Columna de rescate cardaco.";"Metro : Palos de la Frontera   Bus : 6, 8, 19, 45, 47, 55, 59, 85, 86, 102, 247   Renfe:  Delicias.   Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para 6 bicicletas.   Servicio Bicimad  , para consultar la estacin ms cercana, acceda al   mapa de geolocalizacin de las estaciones  .";;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0fd38ed67151c010VgnVCM2000000c205a0aRCRD;CANARIAS;CALLE;V;17;;;;;MADRID;MADRID;28045;PALOS DE MOGUER;ARGANZUELA;441089;4472825;4.040.207.279.862.860;-36.955.325.387.824.000;"915 063 616                                                                                 
";;idmestacionsur@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios; 
4687;Centro Deportivo Municipal Cerro Almodvar;;"Horario de uso de las instalaciones deportivas    Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.    Horario de taquilla   De lunes a viernes: de 9 a 20,30 horas Sbados, domingos y festivos: cerrado   Cierre completo del centro    Das 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo";"Clases y escuelas deportivas     Pre-infantiles  (de 0 a 3 aos): matronatacin y natacin.   Infantiles  (edad, segn modalidades): baloncesto, gimnasia artstica, gimnasia rtmica, karate,  natacin,  pretenis, tenis y salvamento acutico.   Jvenes y personas adultas : actividad acutica, aerbic,  fitness, gap (glteos, abdomen, piernas), gimnasia acutica (acuagim), gimnasia suave,  karate,  natacin,  natacin embarazadas y postparto,  pilates y tenis.   Mayores 65 aos : acondicionamiento fsico, gimnasia acutica (acuagim), y natacin.   Personas con discapacidad : natacin (infantiles y adultas).   Servicio de Medicina Deportiva:  psicomotricidad infantil.    Equipamientos     Superficie total de las instalaciones:  61.600  metros cuadrados.   Unidades deportivas al aire libre:  frontn corto, piscina (vaso de 50 metros, vaso de recreo y vaso infantil), 2 pistas polideportivas (tenis) y 2 tenis de mesa.   Unidades deportivas cubiertas   pabelln polideportivo, piscina (vaso de 25 m. y vaso de enseanza), sala multiusos (aerbic) y sala de musculacin.    Oficina de Promocin Deportiva:  responsable de la coordinacinde Juegos Deportivos Municipales, Torneos y Circuitos municipales y Copas de Primavera. Adems, ofrece informacin sobre Escuelas de Promocin Deportiva.   Ayudas tcnicas para la accesibilidad:    1 gra de piscina.   Columna de rescate cardaco.";"Bus:  58, 63, 145   Renfe:  Santa Eugenia";;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8e96b0c40971c010VgnVCM1000000b205a0aRCRD;CERRO DE ALMODOVAR;CALLE;V;9;;;;;MADRID;MADRID;28007;SANTA EUGENIA;VILLA DE VALLECAS;448872;4470296;4.038.168.570.611.530;-3.602.336.460.953.480;"913 314 047                                                                                       
";;;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios; 
4700;Centro Deportivo Municipal Chamartn;;"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla    De lunes a viernes de 7 a 22,45 horas, sbados de 8 a 20,45 horas, domingos y festivos de 8 a 14,45 horas.    Cierre completo del centro     Das 25 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas     Pre-infantiles  (4 aos): educacin fsica de base y natacin.   Infantiles   (edad, segn modalidades) : aerbic, baloncesto, ftbol sala, gimnasia rtmica, judo, natacin, natacin sincronizada, polideportiva y taekwondo.   Jvenes y personas adultas  aerbic/zumba, baloncesto, ciclo sala, fitness/cross training, gap (glteos, abdomen, piernas), natacin, taekwondo, acondicionamiento fsico, aerbic/ sh&rsquo;bam, aerbic/zumba, actividad acutica, acuagim, acuafitness, ciclo sala, fitness /combinada (body combat/cxwork), fitness/ body combat, fitness /cross training, gap (glteos, abdomen, piernas), gimnasia suave/body balance, natacin, natacin/tecnificacin, natacin de compensacin, natacin embarazadas, pilates, tonificacin/ body pump, tonificacin (body pump/cxworx) y yoga.    Mayores 65 aos :  actividad fsica, gimnasia de compensacin, natacin y pilates.   Programas deportivos en la calle:  fitness/running.    Equipamientos     Superficie total de las instalaciones:  6.172 metros cuadrados.   Unidades deportivas cubiertas:   pabelln polideportivo, piscina  (vaso de 50 metros distribuido en calles de 25 metros y 22,5 metros), 4 salas multiusos, 2 salas de musculacin y zona termal (spa).     Servicio de medicina deportiva:   fisioterapia deportiva y escuela de espalda.    Ayudas tcnicas para la accesibilidad:   instalacin adaptada, con 1 ascensor y 1 gra de piscina.";"Metro:  Po XII.   Bus:  16 , 29 , 51 , 150.   Bicicleta:   El centro dispone de aparcabicicletas interior con capacidad para 12 bicicletas.   Servicio Bicimad , para consultar la estacin ms cercana, acceda al  mapa de geolocalizacin de las estaciones .";;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5f8c79262ef5d010VgnVCM1000000b205a0aRCRD;PIO XII;AVENIDA;V;2;;;;;MADRID;MADRID;28016;NUEVA ESPAA;CHAMARTIN;442779;4479368;4.046.113.349.830.690;-3.676.208.246.061.120;91 359 33 39;;infochamartin@forus.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios; 
